origin,Unnamed: 0,text,author.userName,misinformation,stance,isUSRelated,notes,opinion_label,true_label
T2,1459086,"Unconfirmed reports claiming to originate from #Djokovic ‘s father, say he’s just been re-arrested. Doesn’t surprise me, as the judge did not examine the technical case for denying him entry, only the ‘fairness’ of the timing of his interview by border agents.",_HenryBolton,O,U,0,,1,
T4,198836,Brexit is not the reason for the insecurity of our borders or the present rates of legal and illegal immigration. People who don’t want to control our borders are the reason https://t.co/w9FwGD5TRu,_HenryBolton,O,P,0,,1,
T2,1131342,I’ll be on @talkRADIO in around 5-10 (3:20pm ish) minutes taking about the Channel migrant crossing,_HenryBolton,O,P,1,,1,
T2,1345479,"The judge hearing Djokovic’s deportation appeal (being conducted via video link) has told his solicitors to get him to somewhere he can observe the process. It can’t be his solicitor’s offices though, they’ve a very strict vaccination policy for all staff &amp; visitors - how ironic.",_HenryBolton,T,U,0,,0,1
T2,1116059,"An order to a Border Force vessel to turn back a migrant boat would be unlawful. The decision rests with the vessel captain &amp; his/her decision must be based on their responsibilities under UNCLOS/SOLAS. The skipper is responsible, not the Home Secretary https://t.co/r6JKvlk0f1",_HenryBolton,O,U,0,,1,
T4,270595,@FoxNews Wait until he hears about the guy filling America’s streets with illegals and future Dem voters: https://t.co/10Y9jYZcFr,_USAPatriot_,T,A,1,,0,1
T2,1312097,"@MarshaBlackburn Americans are illegal immigrants.

Have you forgotten your ancestral history? https://t.co/oiN5ZjSRuH",_USAPatriot_,O,I,1,,1,
T4,590231,"@SeldenGADawgs @scribbledname_ @FoxNews Again….I repeat: Abbott is filling our streets with his illegals that he bussed from the border. Not mayors of sanctuary cities. Abbott. A Republican. 

JFC. 🤦🏻‍♂️ https://t.co/8vb3SsmcTK",_USAPatriot_,E,U,1,,0,0
T4,36247,"@SenTedCruz The House is controlled by…….wait for it……Republicans. NOT Democrats.

Republicans can secure the border anytime. But you’re keeping it open for Trump.",_USAPatriot_,O,A,1,,1,
T4,756964,"@EliseStefanik I like Administrations that apprehend migrants who crossed.

Vs the previous one that just let them slip in unencountered.

Sorry….The American People see the House farce for what it is.",_USAPatriot_,O,A,1,,1,
T2,1224387,"Fox News: Harris comms chief apologizes after 2010 tweet reemerges asking why illegal immigrants weren't arrested.
https://t.co/5oHLrul6CW

via @GoogleNews",01splcheck,T,U,1,,0,1
T4,332659,@Cartel_Cal @RepRobertGarcia It seems he's in office to advocate for illegal immigrants.,01splcheck,O,A,1,,1,
T3,1567887,@NatlyDenise_ Ready to bring illegal immigrants to your city.,01splcheck,O,A,1,,1,
T2,1303080,"@cassstastrophe Well, you can take comfort that your tax dollars are going to pay for the free stuff for illegal immigrants pouring across the Southern Border.
There's that.",01splcheck,E,A,1,,0,0
T3,1578404,I see a press conference with Arizona officials talking about the great job being done at the Border. But over their shoulder is video showing illegals streaming into the US.,01splcheck,O,A,1,"unverified, but personal experience",1,
T2,1483471,"@alexhallhall Aside from the sneering arrogance, this piece is deeply dishonest. Johnson’s Brexit is May’s Brexit but with a border. Voters should be anxious about undermining regulation because that relates to our own protection. He’s so wrong about the chemical industry too.
V ugly indeed. https://t.co/JYE1ceHtgt",13sarahmurphy,NR,NR,NR,NR,0,
T2,1455084,"@BorisJohnson @virginmedia @O2 How about getting them all to do this then? And cutting VAT and matching EU subsidies to our poorest regions? And not removing our rights or doing trade deals that undermine our farmers and our welfare standards? Like you promised, Mr. ‘No border in the Irish Sea’
Or did you lie?",13sarahmurphy,O,U,0,,1,
T3,1507785,"@Channel4News @krishgm What an utter disgrace you are @RobertJenrick 
Lying like this about the Refugee Convention. Gaslighting the people of this country into completely misunderstanding the ‘safe country’ concept. We DO NOT get to shirk responsibility based on our geography. And you bloody know it.",13sarahmurphy,O,P,0,"not familiar with Robert Jenrick, a British politician, and his statements or actions regarding the Refugee Convention.",1,
T3,1503390,"This govt is summed up by that Jenrick clip on @Channel4News
A corrupt minister, who cares far more about his own power than doing the right thing, lies to the country about the Refugee Convention to justify his party’s dog-whistling cruelty and cover up their failure. Rancid.",13sarahmurphy,O,P,0,"not familiar with Robert Jenrick, a British politician, and his statements or actions regarding the Refugee Convention.",1,
T4,91338,"@pmdfoster @AdamBienkov @FT Prejudice instead of progress.
When ‘freedom of movement’ is a red line denying opportunities for our own citizens, for fear of angry reactions to a more honest public debate about immigration… it’s a sure sign that you’ve failed and you will continue to fail. Dead end politics.",13sarahmurphy,O,P,0,,1,
