origin,Unnamed: 0,id,text,retweetCount,CreatedAt,author.id,author.userName,author.followers,author.following,author.createdAt,isRetweet,date,createdDate,misinformation,stance,isUSRelated
T2,1224387,1479667332293160967,"Fox News: Harris comms chief apologizes after 2010 tweet reemerges asking why illegal immigrants weren't arrested.
https://t.co/5oHLrul6CW

via @GoogleNews",0,Sat Jan 08 04:12:37 +0000 2022,303850691,01splcheck,7806,6911,Mon May 23 14:37:18 +0000 2011,False,2022-01-07 20:12:37,2022-01-07,T,U,1
T4,332659,1778181695575105704,@Cartel_Cal @RepRobertGarcia It seems he's in office to advocate for illegal immigrants.,0,Wed Apr 10 22:02:07 +0000 2024,303850691,01splcheck,7789,6899,Mon May 23 14:37:18 +0000 2011,False,2024-04-10 15:02:07,2024-04-10,CF,A,1
T3,1567887,1656440842830376960,@NatlyDenise_ Ready to bring illegal immigrants to your city.,0,Wed May 10 23:27:26 +0000 2023,303850691,01splcheck,7814,6921,Mon May 23 14:37:18 +0000 2011,False,2023-05-10 16:27:26,2023-05-10,CF,A,1
T2,1303080,1477882502807052290,"@cassstastrophe Well, you can take comfort that your tax dollars are going to pay for the free stuff for illegal immigrants pouring across the Southern Border.
There's that.",0,Mon Jan 03 06:00:21 +0000 2022,303850691,01splcheck,7806,6911,Mon May 23 14:37:18 +0000 2011,False,2022-01-02 22:00:21,2022-01-02,E,A,1
T3,1578404,1656441829464870912,I see a press conference with Arizona officials talking about the great job being done at the Border. But over their shoulder is video showing illegals streaming into the US.,1,Wed May 10 23:31:22 +0000 2023,303850691,01splcheck,7814,6921,Mon May 23 14:37:18 +0000 2011,False,2023-05-10 16:31:22,2023-05-10,UV,A,1
T2,1483471,1480107991101751300,"@alexhallhall Aside from the sneering arrogance, this piece is deeply dishonest. Johnson’s Brexit is May’s Brexit but with a border. Voters should be anxious about undermining regulation because that relates to our own protection. He’s so wrong about the chemical industry too.
V ugly indeed. https://t.co/JYE1ceHtgt",11,Sun Jan 09 09:23:38 +0000 2022,1158193640,13sarahmurphy,158518,3067,Thu Feb 07 20:28:06 +0000 2013,False,2022-01-09 01:23:38,2022-01-09,NR,NR,NR
T2,1455084,1480496514631974915,"@BorisJohnson @virginmedia @O2 How about getting them all to do this then? And cutting VAT and matching EU subsidies to our poorest regions? And not removing our rights or doing trade deals that undermine our farmers and our welfare standards? Like you promised, Mr. ‘No border in the Irish Sea’
Or did you lie?",149,Mon Jan 10 11:07:30 +0000 2022,1158193640,13sarahmurphy,158518,3067,Thu Feb 07 20:28:06 +0000 2013,False,2022-01-10 03:07:30,2022-01-10,F,U,0
T3,1507785,1656367671074517023,"@Channel4News @krishgm What an utter disgrace you are @RobertJenrick 
Lying like this about the Refugee Convention. Gaslighting the people of this country into completely misunderstanding the ‘safe country’ concept. We DO NOT get to shirk responsibility based on our geography. And you bloody know it.",557,Wed May 10 18:36:41 +0000 2023,1158193640,13sarahmurphy,158519,3067,Thu Feb 07 20:28:06 +0000 2013,False,2023-05-10 11:36:41,2023-05-10,T,P,0
T3,1503390,1656385084948197376,"This govt is summed up by that Jenrick clip on @Channel4News
A corrupt minister, who cares far more about his own power than doing the right thing, lies to the country about the Refugee Convention to justify his party’s dog-whistling cruelty and cover up their failure. Rancid.",892,Wed May 10 19:45:53 +0000 2023,1158193640,13sarahmurphy,158519,3067,Thu Feb 07 20:28:06 +0000 2013,False,2023-05-10 12:45:53,2023-05-10,T,P,0
T4,91338,1781234404385304667,"@pmdfoster @AdamBienkov @FT Prejudice instead of progress.
When ‘freedom of movement’ is a red line denying opportunities for our own citizens, for fear of angry reactions to a more honest public debate about immigration… it’s a sure sign that you’ve failed and you will continue to fail. Dead end politics.",20,Fri Apr 19 08:12:30 +0000 2024,1158193640,13sarahmurphy,158413,3060,Thu Feb 07 20:28:06 +0000 2013,False,2024-04-19 01:12:30,2024-04-19,CF,P,0
T2,1202100,1475426041762045960,Up to 60 migrants including six children are brought ashore at Dover https://t.co/Sf46WJmVyi via @MailOnline,0,Mon Dec 27 11:19:15 +0000 2021,755114148,2b_freeforever,3059,4944,Mon Aug 13 13:10:30 +0000 2012,False,2021-12-27 03:19:15,2021-12-27,T,U,0
T4,619181,1781006673735262654,Asylum seeker rapes 15-year-old girl after his deportation flight was blocked by cabin crew https://t.co/HqKH8UGnRJ,0,Thu Apr 18 17:07:35 +0000 2024,755114148,2b_freeforever,3060,4948,Mon Aug 13 13:10:30 +0000 2012,False,2024-04-18 10:07:35,2024-04-18,T,U,0
T2,1121678,1479160143493410817,"But the scum that are arriving here are not asylum seekers. They pay £,000's for their passage over here. They arrive in their designer gear with their smart phones. They are fighting age males. Avoiding fighting for their own country no doubt whilst scrounging from ours.",1,Thu Jan 06 18:37:14 +0000 2022,755114148,2b_freeforever,3059,4945,Mon Aug 13 13:10:30 +0000 2012,False,2022-01-06 10:37:14,2022-01-06,E,A,0
T3,1523458,1656296131490357250,Two thugs who murdered refugee in mistaken identity attack are jailed https://t.co/wBVmbyDZRX via @MailOnline,0,Wed May 10 13:52:24 +0000 2023,755114148,2b_freeforever,3058,4945,Mon Aug 13 13:10:30 +0000 2012,False,2023-05-10 06:52:24,2023-05-10,T,U,0
T2,1206016,1475255054919774210,Desperate staff buy pizza and roll mats for Channel migrants https://t.co/UG0atneFQ7 via @MailOnline red,0,Sun Dec 26 23:59:48 +0000 2021,755114148,2b_freeforever,3059,4944,Mon Aug 13 13:10:30 +0000 2012,False,2021-12-26 15:59:48,2021-12-26,T,U,0
T4,738026,1778927205059285072,"""...Some countries, like Venezuela, aren’t cooperative with deportations and won’t take their own citizens back, yet the Biden admin continues to import Venezuelans into the U.S. by the tens of thousands via this program...""

This is against current law, which makes the Biden Administration an alien smuggling operation in violation of Title 8 USC 1324.",0,Fri Apr 12 23:24:31 +0000 2024,262414966,2scottsherG,835,1536,Tue Mar 08 00:40:06 +0000 2011,False,2024-04-12 16:24:31,2024-04-12,F,A,1
T4,143123,1781860419566453120,"I sure hope Border Patrol searched all those backpacks.  They can search without any PC or warrants due to the border search authority.  But it really looks like they don’t have the manpower there to have done it thoroughly.  Perhaps they will do it at processing, but that makes it dangerous to transport.    It’s just unreal how bad this is.",0,Sun Apr 21 01:40:04 +0000 2024,262414966,2scottsherG,836,1537,Tue Mar 08 00:40:06 +0000 2011,False,2024-04-20 18:40:04,2024-04-20,T,A,1
