origin,Unnamed: 0,id,text,CreatedAt,author.userName,createdDate,misinformation,stance,isUSRelated,notes
T2,1224387,1.47967E+18,"Fox News: Harris comms chief apologizes after 2010 tweet reemerges asking why illegal immigrants weren't arrested.
https://t.co/5oHLrul6CW

via @GoogleNews",Sat Jan 08 04:12:37 +0000 2022,01splcheck,1/7/22,true information,neutral,,
T4,332659,1.77818E+18,@Cartel_Cal @RepRobertGarcia It seems he's in office to advocate for illegal immigrants.,Wed Apr 10 22:02:07 +0000 2024,01splcheck,4/10/24,opinion,anti,,
T3,1567887,1.65644E+18,@NatlyDenise_ Ready to bring illegal immigrants to your city.,Wed May 10 23:27:26 +0000 2023,01splcheck,5/10/23,opinion,anti,,
T2,1303080,1.47788E+18,"@cassstastrophe Well, you can take comfort that your tax dollars are going to pay for the free stuff for illegal immigrants pouring across the Southern Border.
There's that.",Mon Jan 03 06:00:21 +0000 2022,01splcheck,1/2/22,misleading content,anti,,
T3,1578404,1.65644E+18,I see a press conference with Arizona officials talking about the great job being done at the Border. But over their shoulder is video showing illegals streaming into the US.,Wed May 10 23:31:22 +0000 2023,01splcheck,5/10/23,uncertain,anti,,"true information, or misleading content, no verifiable evidence"
T2,1483471,1.48011E+18,"@alexhallhall Aside from the sneering arrogance, this piece is deeply dishonest. Johnson’s Brexit is May’s Brexit but with a border. Voters should be anxious about undermining regulation because that relates to our own protection. He’s so wrong about the chemical industry too.
V ugly indeed. https://t.co/JYE1ceHtgt",Sun Jan 09 09:23:38 +0000 2022,13sarahmurphy,1/9/22,,,UK,irrelevant
T2,1455084,1.4805E+18,"@BorisJohnson @virginmedia @O2 How about getting them all to do this then? And cutting VAT and matching EU subsidies to our poorest regions? And not removing our rights or doing trade deals that undermine our farmers and our welfare standards? Like you promised, Mr. ‘No border in the Irish Sea’
Or did you lie?",Mon Jan 10 11:07:30 +0000 2022,13sarahmurphy,1/10/22,,,UK,irrelevant
T3,1507785,1.65637E+18,"@Channel4News @krishgm What an utter disgrace you are @RobertJenrick 
Lying like this about the Refugee Convention. Gaslighting the people of this country into completely misunderstanding the ‘safe country’ concept. We DO NOT get to shirk responsibility based on our geography. And you bloody know it.",Wed May 10 18:36:41 +0000 2023,13sarahmurphy,5/10/23,uncertain,pro,UK,no verifiable evidence
T3,1503390,1.65639E+18,"This govt is summed up by that Jenrick clip on @Channel4News
A corrupt minister, who cares far more about his own power than doing the right thing, lies to the country about the Refugee Convention to justify his party’s dog-whistling cruelty and cover up their failure. Rancid.",Wed May 10 19:45:53 +0000 2023,13sarahmurphy,5/10/23,uncertain,pro,UK,no verifiable evidence
T4,91338,1.78123E+18,"@pmdfoster @AdamBienkov @FT Prejudice instead of progress.
When ‘freedom of movement’ is a red line denying opportunities for our own citizens, for fear of angry reactions to a more honest public debate about immigration… it’s a sure sign that you’ve failed and you will continue to fail. Dead end politics.",Fri Apr 19 08:12:30 +0000 2024,13sarahmurphy,4/19/24,opinion,pro,UK,
