,origin,Unnamed: 0,id,text,CreatedAt,author.userName,createdDate,misinformation,stance,isUSRelated,notes,cleaned_text
0,T2,1224387,1.47967e+18,"Fox News: Harris comms chief apologizes after 2010 tweet reemerges asking why illegal immigrants weren't arrested.
https://t.co/5oHLrul6CW

via @GoogleNews",Sat Jan 08 04:12:37 +0000 2022,01splcheck,1/7/22,true information,neutral,,,Fox News Harris comms chief apologizes tweet reemerges asking illegal immigrant arrested via
1,T4,332659,1.77818e+18,@Cartel_Cal @RepRobertGarcia It seems he's in office to advocate for illegal immigrants.,Wed Apr 10 22:02:07 +0000 2024,01splcheck,4/10/24,opinion,anti,,,seems office advocate illegal immigrant
2,T3,1567887,1.65644e+18,@NatlyDenise_ Ready to bring illegal immigrants to your city.,Wed May 10 23:27:26 +0000 2023,01splcheck,5/10/23,opinion,anti,,,ready bring illegal immigrant city
3,T2,1303080,1.47788e+18,"@cassstastrophe Well, you can take comfort that your tax dollars are going to pay for the free stuff for illegal immigrants pouring across the Southern Border.
There's that.",Mon Jan 03 06:00:21 +0000 2022,01splcheck,1/2/22,misleading content,anti,,,well take comfort tax dollar going pay free stuff illegal immigrant pouring across southern Border
4,T3,1578404,1.65644e+18,I see a press conference with Arizona officials talking about the great job being done at the Border. But over their shoulder is video showing illegals streaming into the US.,Wed May 10 23:31:22 +0000 2023,01splcheck,5/10/23,uncertain,anti,,"true information, or misleading content, no verifiable evidence",see press conference Arizona official talking great job done Border shoulder video showing illegals streaming US
5,T2,1483471,1.48011e+18,"@alexhallhall Aside from the sneering arrogance, this piece is deeply dishonest. Johnson’s Brexit is May’s Brexit but with a border. Voters should be anxious about undermining regulation because that relates to our own protection. He’s so wrong about the chemical industry too.
V ugly indeed. https://t.co/JYE1ceHtgt",Sun Jan 09 09:23:38 +0000 2022,13sarahmurphy,1/9/22,,,UK,irrelevant,aside sneering arrogance piece deeply dishonest johnson Brexit Mays Brexit border Voters anxious undermining regulation relates protection wrong chemical industry V ugly indeed
6,T2,1455084,1.4805e+18,"@BorisJohnson @virginmedia @O2 How about getting them all to do this then? And cutting VAT and matching EU subsidies to our poorest regions? And not removing our rights or doing trade deals that undermine our farmers and our welfare standards? Like you promised, Mr. ‘No border in the Irish Sea’
Or did you lie?",Mon Jan 10 11:07:30 +0000 2022,13sarahmurphy,1/10/22,,,UK,irrelevant,getting cutting VAT matching EU subsidy poorest region removing right trade deal undermine farmer welfare standard like promised Mr No border Irish Sea Or lie
7,T3,1507785,1.65637e+18,"@Channel4News @krishgm What an utter disgrace you are @RobertJenrick 
Lying like this about the Refugee Convention. Gaslighting the people of this country into completely misunderstanding the ‘safe country’ concept. We DO NOT get to shirk responsibility based on our geography. And you bloody know it.",Wed May 10 18:36:41 +0000 2023,13sarahmurphy,5/10/23,uncertain,pro,UK,no verifiable evidence,utter disgrace lying like Refugee Convention gaslighting people country completely misunderstanding safe country concept get shirk responsibility based geography bloody know
8,T3,1503390,1.65639e+18,"This govt is summed up by that Jenrick clip on @Channel4News
A corrupt minister, who cares far more about his own power than doing the right thing, lies to the country about the Refugee Convention to justify his party’s dog-whistling cruelty and cover up their failure. Rancid.",Wed May 10 19:45:53 +0000 2023,13sarahmurphy,5/10/23,uncertain,pro,UK,no verifiable evidence,govt summed Jenrick clip A corrupt minister care far power right thing lie country Refugee Convention justify party dogwhistling cruelty cover failure Rancid
9,T4,91338,1.78123e+18,"@pmdfoster @AdamBienkov @FT Prejudice instead of progress.
When ‘freedom of movement’ is a red line denying opportunities for our own citizens, for fear of angry reactions to a more honest public debate about immigration… it’s a sure sign that you’ve failed and you will continue to fail. Dead end politics.",Fri Apr 19 08:12:30 +0000 2024,13sarahmurphy,4/19/24,opinion,pro,UK,,Prejudice instead progress freedom movement red line denying opportunity citizen fear angry reaction honest public debate immigration sure sign failed continue fail dead end politics
10,T2,1202100,1.47543e+18,Up to 60 migrants including six children are brought ashore at Dover https://t.co/Sf46WJmVyi via @MailOnline,Mon Dec 27 11:19:15 +0000 2021,2b_freeforever,12/27/21,true information,neutral,UK,,migrant including six child brought ashore Dover via
11,T4,619181,1.78101e+18,Asylum seeker rapes 15-year-old girl after his deportation flight was blocked by cabin crew https://t.co/HqKH8UGnRJ,Thu Apr 18 17:07:35 +0000 2024,2b_freeforever,4/18/24,true information,neutral,UK,,Asylum seeker rape yearold girl deportation flight blocked cabin crew
12,T2,1121678,1.47916e+18,"But the scum that are arriving here are not asylum seekers. They pay £,000's for their passage over here. They arrive in their designer gear with their smart phones. They are fighting age males. Avoiding fighting for their own country no doubt whilst scrounging from ours.",Thu Jan 06 18:37:14 +0000 2022,2b_freeforever,1/6/22,misleading content,anti,UK,,scum arriving asylum seeker pay passage arrive designer gear smart phone fighting age male avoiding fighting country doubt whilst scrounging
13,T3,1523458,1.6563e+18,Two thugs who murdered refugee in mistaken identity attack are jailed https://t.co/wBVmbyDZRX via @MailOnline,Wed May 10 13:52:24 +0000 2023,2b_freeforever,5/10/23,true information,neutral,UK,,two thug murdered refugee mistaken identity attack jailed via
14,T2,1206016,1.47526e+18,Desperate staff buy pizza and roll mats for Channel migrants https://t.co/UG0atneFQ7 via @MailOnline red,Sun Dec 26 23:59:48 +0000 2021,2b_freeforever,12/26/21,true information,anti,UK,,desperate staff buy pizza roll mat Channel migrant via red
15,T4,738026,1.77893e+18,"""...Some countries, like Venezuela, aren’t cooperative with deportations and won’t take their own citizens back, yet the Biden admin continues to import Venezuelans into the U.S. by the tens of thousands via this program...""

This is against current law, which makes the Biden Administration an alien smuggling operation in violation of Title 8 USC 1324.",Fri Apr 12 23:24:31 +0000 2024,2scottsherG,4/12/24,misleading content,anti,,,country like Venezuela cooperative deportation take citizen back yet Biden admin continues import Venezuelans YOUS ten thousand via program current law make Biden Administration alien smuggling operation violation Title USC
16,T4,143123,1.78186e+18,"I sure hope Border Patrol searched all those backpacks.  They can search without any PC or warrants due to the border search authority.  But it really looks like they don’t have the manpower there to have done it thoroughly.  Perhaps they will do it at processing, but that makes it dangerous to transport.    It’s just unreal how bad this is.",Sun Apr 21 01:40:04 +0000 2024,2scottsherG,4/20/24,true information,anti,,,sure hope Border Patrol searched backpack search without pc warrant due border search authority really look like manpower done thoroughly perhaps processing make dangerous transport unreal bad
17,T3,1577648,1.65644e+18,@AliBradleyTV HSI has been detailed to several areas of the border for a while now.  Mostly at ELP recently.,Wed May 10 23:35:32 +0000 2023,2scottsherG,5/10/23,true information,anti,,,HSI detailed several area border mostly ELP recently
18,T4,26513,1.78191e+18,@BillMelugin_ @FoxNews Brandon Judd is a joke. Never ever ever use him as the voice of immigration enforcement.  He is a disgrace to the Border Patrol.  He is Mayorkas’ right hand man.,Sun Apr 21 04:59:05 +0000 2024,2scottsherG,4/20/24,opinion,anti,,,Brandon Judd joke Never ever ever use voice immigration enforcement disgrace Border Patrol Mayorkas right hand man
